date,px_0931,hi_0930,lo_0930,src
2023-08-01,265.73,266.47,265.36,fmp
2023-08-02,255.07,256.0,255.04,fmp
2023-08-03,253.195,253.22,252.0,fmp
2023-08-04,261.38,262.0,260.86,fmp
2023-08-07,252.64,252.9,251.1681,fmp
2023-08-08,248.73,248.96,247.17,fmp
2023-08-09,249.645,251.1,249.525,fmp
2023-08-10,244.93,245.52,244.53,fmp
2023-08-11,241.12,242.6,241.01,fmp
2023-08-14,234.13,236.04,234.09,fmp
2023-08-15,239.41,239.7898,238.57,fmp
2023-08-16,229.21,229.6,227.45,fmp
2023-08-17,226.025,226.74,225.82,fmp
2023-08-18,215.57,215.6,213.5,fmp
2023-08-21,221.268,221.66,220.95,fmp
2023-08-22,238.69,240.82,238.56,fmp
2023-08-23,231.81,231.94,229.29,fmp
2023-08-24,238.49,238.92,237.38,fmp
2023-08-25,232.442,232.78,230.93,fmp
2023-08-28,243.65,243.96,242.09,fmp
2023-08-29,238.39,239.23,238.23,fmp
2023-08-30,255.21,255.45,254.1,fmp
2023-08-31,256.89,256.9399,255.12,fmp
2023-09-01,258.55,258.5488,256.68,fmp
2023-09-05,246.309,246.3,244.86,fmp
2023-09-06,254.22,255.39,254.11,fmp
2023-09-07,244.152,245.0999,243.7773,fmp
2023-09-08,252.075,252.2,250.31,fmp
2023-09-11,262.15,264.87,261.6787,fmp
2023-09-12,272.16,272.17,270.62,fmp
2023-09-13,269.66,270.46,268.61,fmp
2023-09-14,271.03,272.16,270.42,fmp
2023-09-15,278.9,278.95,277.28,fmp
2023-09-18,270.33,271.44,268.34,fmp
2023-09-19,264.7474,265.29,263.08,fmp
2023-09-20,266.03,267.62,266.03,fmp
2023-09-21,259.625,259.63,257.0,fmp
2023-09-22,256.6294,257.7888,256.53,fmp
2023-09-25,242.54,243.65,242.52,fmp
2023-09-26,243.504,243.6999,242.18,fmp
2023-09-27,244.17,244.95,243.8,fmp
2023-09-28,239.0,240.38,238.65,fmp
2023-09-29,248.89,250.2988,248.75,fmp
2023-10-02,245.322,245.55,243.57,fmp
2023-10-03,248.16,249.02,247.81,fmp
2023-10-04,248.25,248.68,247.6,fmp
2023-10-05,259.45,260.36,259.27,fmp
2023-10-06,254.15,254.32,253.33,fmp
2023-10-09,255.69,256.12,255.01,fmp
2023-10-10,258.45,258.98,257.65,fmp
2023-10-11,266.89,267.38,266.18,fmp
2023-10-12,263.35,264.0,262.8,fmp
2023-10-13,259.12,259.6,258.5001,fmp
2023-10-16,249.66,250.68,248.48,fmp
2023-10-17,250.1819,251.08,249.96,fmp
2023-10-18,251.55,252.92,251.44,fmp
2023-10-19,227.22,227.43,224.32,fmp
2023-10-20,215.86,217.18,215.59,fmp
2023-10-23,209.5,210.48,208.82,fmp
2023-10-24,216.0899,216.779,215.7,fmp
2023-10-25,215.09,216.26,215.02,fmp
2023-10-26,211.78,212.49,211.06,fmp
2023-10-27,211.3116,212.18,210.505,fmp
2023-10-30,208.96,209.5,208.3,fmp
2023-10-31,196.82,196.84,195.6,fmp
2023-11-01,203.66,204.73,203.65,fmp
2023-11-02,212.36,213.78,212.26,fmp
2023-11-03,222.5288,222.5529,221.15,fmp
2023-11-06,224.085,224.5,223.41,fmp
2023-11-07,220.2047,220.9598,219.7,fmp
2023-11-08,223.725,224.15,222.9,fmp
2023-11-09,220.06,220.8,219.52,fmp
2023-11-10,208.95,210.1,208.9,fmp
2023-11-13,217.11,217.2,215.4,fmp
2023-11-14,233.87,235.39,233.5,fmp
2023-11-15,237.9868,239.75,237.55,fmp
2023-11-16,239.23,240.12,238.68,fmp
2023-11-17,230.1501,232.11,229.72,fmp
2023-11-20,232.21,234.3215,232.18,fmp
2023-11-21,233.89,235.76,233.84,fmp
2023-11-22,243.45,243.45,241.3,fmp
2023-11-24,233.0241,234.21,232.901,fmp
2023-11-27,237.4099,237.8,236.52,fmp
2023-11-28,237.21,238.08,236.66,fmp
2023-11-29,247.93,249.48,247.79,fmp
2023-11-30,243.4,245.22,243.16,fmp
2023-12-01,234.217,234.2799,233.0,fmp
2023-12-04,235.94,236.7765,235.3335,fmp
2023-12-05,235.18,235.44,233.7,fmp
2023-12-06,244.015,244.23,242.7,fmp
2023-12-07,242.36,242.4499,241.15,fmp
2023-12-08,240.11,240.38,239.2701,fmp
2023-12-11,242.2,243.441,241.9,fmp
2023-12-12,237.175,238.99,237.03,fmp
2023-12-13,235.2175,235.45,234.0,fmp
2023-12-14,242.19,242.34,240.79,fmp
2023-12-15,250.14,252.34,250.12,fmp
2023-12-18,253.8234,254.1,252.95,fmp
2023-12-19,254.315,254.39,253.01,fmp
2023-12-20,255.57,255.8,255.4,fmp
2023-12-21,253.08,253.12,251.57,fmp
2023-12-22,257.34,257.74,255.95,fmp
2023-12-26,254.98,255.16,254.26,fmp
2023-12-27,259.09,259.15,257.52,fmp
2023-12-28,264.58,265.13,263.15,fmp
2023-12-29,254.53,255.19,253.95,fmp
2024-01-02,250.0,250.9,249.52,fmp
2024-01-03,245.41,245.55,243.76,fmp
2024-01-04,239.38,239.71,238.67,fmp
2024-01-05,237.33,237.57,236.11,fmp
2024-01-08,235.65,236.26,235.37,fmp
2024-01-09,238.3627,238.9646,237.75,fmp
2024-01-10,235.15,235.5,234.3,fmp
2024-01-11,228.7119,230.93,228.53,fmp
2024-01-12,220.9499,221.4,219.6,fmp
2024-01-16,215.3488,215.37,214.02,fmp
2024-01-17,214.14,215.38,213.98,fmp
2024-01-18,216.54,217.33,216.0,fmp
2024-01-19,209.28,210.35,209.18,fmp
2024-01-22,212.148,212.4956,211.15,fmp
2024-01-23,212.57,212.8,211.2206,fmp
2024-01-24,211.55,212.36,211.0,fmp
2024-01-25,189.5,189.8,187.77,fmp
2024-01-26,184.94,186.3,184.51,fmp
2024-01-29,185.6502,185.96,185.0081,fmp
2024-01-30,194.5925,195.51,194.57,fmp
2024-01-31,186.424,187.93,186.36,fmp
2024-02-01,188.524,188.86,188.0,fmp
2024-02-02,184.93,185.39,184.21,fmp
2024-02-05,184.2105,184.68,184.02,fmp
2024-02-06,178.47,178.5832,177.11,fmp
2024-02-07,188.1436,188.88,187.35,fmp
2024-02-08,187.7193,189.0,187.66,fmp
2024-02-09,190.0,190.4738,189.83,fmp
2024-02-12,192.8423,193.02,192.04,fmp
2024-02-13,183.8894,184.42,183.63,fmp
2024-02-14,185.26,185.58,184.9501,fmp
2024-02-15,189.6197,189.74,188.8595,fmp
2024-02-16,200.65,202.43,200.5734,fmp
2024-02-20,197.1397,197.67,195.76,fmp
2024-02-21,194.364,194.43,192.7,fmp
2024-02-22,193.1001,194.3,193.04,fmp
2024-02-23,196.3799,196.5099,194.61,fmp
2024-02-26,194.07,194.18,192.0,fmp
2024-02-27,205.18,205.19,203.1,fmp
2024-02-28,200.97,201.35,200.05,fmp
2024-02-29,205.03,205.25,203.6,fmp
2024-03-01,201.13,201.29,200.0,fmp
2024-03-04,197.64,199.75,197.64,fmp
2024-03-05,181.88,183.53,181.75,fmp
2024-03-06,179.58,181.58,179.54,fmp
2024-03-07,175.03,175.2,173.7,fmp
2024-03-08,181.62,182.73,181.3,fmp
2024-03-11,174.82,175.97,174.8,fmp
2024-03-12,177.11,177.96,177.02,fmp
2024-03-13,173.23,173.9,173.0,fmp
2024-03-14,169.99,169.99,167.2,fmp
2024-03-15,164.02,164.13,162.55,fmp
2024-03-18,169.34,170.2,168.57,fmp
2024-03-19,172.38,172.82,172.16,fmp
2024-03-20,172.74,173.17,172.25,fmp
2024-03-21,176.81,176.95,176.06,fmp
