config,OR_start,date,direction,entry_time_ET,entry_price,stop_price,exit_time_ET,exit_price,reason,qty_shares,risk_$,pnl_$
Config A,09:30,2026-06-01,S,09:55,422.96,427.96,15:50,416.11,EOD,100,500.0,637.0
Config A,09:30,2026-06-02,L,10:15,420.36,415.36,15:50,423.7,EOD,100,500.0,324.0
Config A,09:30,2026-06-03,L,09:40,422.2,417.2,10:25,428.88,Trail,100,500.0,610.56
Config A,09:30,2026-06-05,S,09:35,417.27,422.27,15:45,392.58,Trail,100,500.0,1974.31
Config A,09:30,2026-06-08,L,09:50,401.34,396.34,15:20,408.93,Trail,100,500.0,692.81
Config A,09:30,2026-06-09,S,10:05,409.77,414.77,12:35,389.14,Trail,100,500.0,1678.25
Config A,09:30,2026-06-10,L,09:35,396.08,391.11,09:50,395.6,BE Stop,100,497.0,-58.0
Config A,09:30,2026-06-10,S (Rev),10:05,390.8,394.57,15:50,382.18,Rev EOD,159,600.0,1355.97
Config A,09:30,2026-06-11,L,13:30,392.22,387.22,15:50,399.1,EOD,100,500.0,688.5
Config A,09:30,2026-06-12,S,09:55,394.48,399.48,11:20,399.48,Base SL,100,500.0,-510.0
Config A,09:30,2026-06-12,L (Rev),13:05,404.09,396.58,13:10,404.09,Rev BE Stop,80,600.0,-7.99
Config A,09:30,2026-06-15,S,09:35,408.85,413.85,09:45,412.18,BE Stop,100,500.0,-343.0
Config A,09:30,2026-06-16,L,09:40,408.36,403.36,10:00,407.47,Trail,100,500.0,20.38
Config A,09:30,2026-06-17,S,09:55,398.55,403.53,10:15,400.9,BE Stop,100,498.0,-245.0
Config A,09:30,2026-06-17,L (Rev),12:20,404.77,399.44,14:00,404.77,Rev BE Stop,113,600.0,-11.26
Config A,09:30,2026-06-18,S,09:35,390.61,395.61,13:30,395.18,BE Stop,100,500.0,-467.0
Config A,09:30,2026-06-18,L (Rev),15:45,399.62,391.44,15:50,402.22,Rev EOD,73,600.0,183.37
Config A,09:30,2026-06-22,L,09:35,401.7,396.7,10:20,410.92,Trail,100,500.0,808.94
Config A,09:30,2026-06-23,S,09:40,388.11,392.87,12:10,385.28,Trail,100,476.0,309.25
Config A,09:30,2026-06-24,L,09:35,384.09,379.09,10:00,381.4,BE Stop,100,500.0,-279.0
Config A,09:30,2026-06-24,S (Rev),12:40,378.52,383.27,15:50,376.8,Rev EOD,126,600.0,204.63
Config A,09:30,2026-06-25,S,09:55,371.66,376.66,10:05,375.11,BE Stop,100,500.0,-355.0
Config A,09:30,2026-06-26,L,09:40,373.21,368.6,10:40,376.77,Trail,100,461.0,335.44
Config A,09:30,2026-06-29,L,09:35,387.74,382.74,15:50,411.28,EOD,100,500.0,1934.5
Config A,09:30,2026-06-30,L,09:35,411.43,406.43,11:10,412.91,Trail,100,500.0,216.56
Config A,09:30,2026-07-01,L,10:05,426.61,421.61,12:00,427.86,Trail,100,500.0,225.88
Config A,09:30,2026-07-02,S,09:35,418.7,423.7,10:15,412.66,Trail,100,500.0,624.44
Config A,09:30,2026-07-06,S,09:35,392.56,397.56,09:40,392.6,BE Stop,100,500.0,-14.0
Config A,09:30,2026-07-06,L (Rev),09:45,401.36,394.18,15:50,418.31,Rev EOD,84,600.0,1408.08
Config A,09:30,2026-07-07,S,09:50,412.69,417.69,12:35,408.19,Trail,100,500.0,452.38
Config A,09:30,2026-07-08,S,09:50,394.81,399.63,15:35,393.46,Trail,100,482.0,189.69
Config A,09:30,2026-07-09,L,10:00,398.01,393.01,10:15,393.92,BE Stop,100,500.0,-419.0
Config A,09:45,2026-06-01,S,09:50,424.58,426.84,10:15,423.38,Trail,100,226.0,133.31
Config A,09:45,2026-06-02,S,09:50,413.99,417.37,09:55,414.06,BE Stop,100,338.0,-17.0
Config A,09:45,2026-06-02,L (Rev),10:10,417.4,414.72,15:50,423.7,Rev EOD,200,536.0,1240.0
Config A,09:45,2026-06-03,L,10:00,425.84,421.4,10:20,429.69,Trail,100,444.0,371.31
Config A,09:45,2026-06-04,S,10:00,420.74,424.1,10:10,421.49,BE Stop,100,336.0,-85.0
Config A,09:45,2026-06-05,S,09:55,409.65,414.41,15:25,391.46,Trail,100,476.0,1449.69
Config A,09:45,2026-06-08,L,09:50,401.34,397.2,11:15,402.56,Trail,100,414.0,141.06
Config A,09:45,2026-06-09,S,10:05,409.77,414.77,12:15,391.0,Trail,100,500.0,1509.87
Config A,09:45,2026-06-10,S,09:50,392.88,396.2,10:10,391.04,Trail,100,332.0,182.56
Config A,09:45,2026-06-11,L,09:50,386.58,382.19,10:10,387.08,Trail,100,439.0,100.06
Config A,09:45,2026-06-12,S,10:30,394.4,397.94,10:35,394.4,BE Stop,100,354.0,-10.0
Config A,09:45,2026-06-12,L (Rev),11:15,398.29,394.79,11:40,397.27,Rev BE Stop,171,600.0,-192.0
Config A,09:45,2026-06-15,S,09:55,411.2,414.25,10:50,410.16,Trail,100,305.0,123.44
Config A,09:45,2026-06-16,L,09:50,410.19,407.34,10:00,409.81,BE Stop,100,285.0,15.0
Config A,09:45,2026-06-16,S (Rev),10:05,407.11,409.15,11:00,406.99,Rev BE Trail,200,408.0,4.0
Config A,09:45,2026-06-17,S,09:55,398.55,402.79,10:20,400.14,BE Stop,100,424.0,-169.0
Config A,09:45,2026-06-17,L (Rev),12:10,403.1,401.4,14:00,404.69,Rev BE Trail,200,340.0,298.0
Config A,09:45,2026-06-18,L,10:05,391.32,387.82,10:10,391.24,BE Stop,100,350.0,-18.0
Config A,09:45,2026-06-18,S (Rev),10:25,386.1,390.5,10:50,388.63,Rev BE Stop,136,600.0,-358.64
Config A,09:45,2026-06-22,L,09:55,406.69,402.2,10:05,412.52,Trail,100,449.0,480.94
Config A,09:45,2026-06-23,S,10:20,386.88,390.19,10:35,388.62,BE Stop,100,331.0,-184.0
Config A,09:45,2026-06-24,S,10:00,380.35,383.88,10:10,381.43,BE Stop,100,353.0,-118.0
Config A,09:45,2026-06-25,S,09:55,371.66,376.16,10:00,371.84,BE Stop,100,450.0,-28.0
Config A,09:45,2026-06-25,L (Rev),10:05,376.62,372.25,11:10,375.15,Rev BE Stop,137,600.0,-215.56
Config A,09:45,2026-06-26,L,09:55,374.65,371.02,10:15,375.6,Trail,100,363.0,117.81
Config A,09:45,2026-06-29,S,10:10,390.04,394.0,10:25,391.69,BE Stop,100,396.0,-175.0
Config A,09:45,2026-06-29,L (Rev),10:30,397.7,390.89,15:50,411.28,Rev EOD,88,600.0,1187.67
Config A,09:45,2026-06-30,L,09:55,412.07,409.05,10:10,414.49,Trail,100,302.0,230.63
Config A,09:45,2026-07-01,L,10:00,423.7,420.0,10:30,425.19,Trail,100,370.0,185.31
