config,OR_start,date,direction,entry_time_ET,entry_price,stop_price,exit_time_ET,exit_price,reason,qty_shares,risk_$,pnl_$
Config B,09:30,2026-06-01,S,09:55,422.96,427.96,15:50,416.11,EOD,100,500.0,637.0
Config B,09:30,2026-06-02,L,10:15,420.36,415.36,15:50,423.7,EOD,100,500.0,324.0
Config B,09:30,2026-06-03,L,09:40,422.2,417.2,11:35,426.18,VWAP Cross,100,500.0,408.25
Config B,09:30,2026-06-05,S,09:35,417.27,422.27,15:50,392.26,EOD,100,500.0,1998.5
Config B,09:30,2026-06-08,L,09:50,401.34,396.34,15:50,409.6,EOD,100,500.0,743.25
Config B,09:30,2026-06-09,S,10:05,409.77,414.77,15:50,397.0,EOD,100,500.0,1088.75
Config B,09:30,2026-06-10,L,09:35,396.08,391.11,09:50,395.6,BE Stop,100,497.0,-58.0
Config B,09:30,2026-06-10,S (Rev),10:05,390.8,394.57,15:50,382.18,Rev EOD,159,600.0,1355.97
Config B,09:30,2026-06-11,L,13:30,392.22,387.22,15:50,399.1,EOD,100,500.0,688.5
Config B,09:30,2026-06-12,S,09:55,394.48,399.48,11:20,399.48,Base SL,100,500.0,-510.0
Config B,09:30,2026-06-12,L (Rev),13:05,404.09,396.58,13:10,404.09,Rev BE Stop,80,600.0,-7.99
Config B,09:30,2026-06-15,S,09:35,408.85,413.85,09:45,412.18,BE Stop,100,500.0,-343.0
Config B,09:30,2026-06-16,L,09:40,408.36,403.36,10:20,403.36,Base SL,100,500.0,-287.5
Config B,09:30,2026-06-17,S,09:55,398.55,403.53,10:15,400.9,BE Stop,100,498.0,-245.0
Config B,09:30,2026-06-17,L (Rev),12:20,404.77,399.44,14:00,404.77,Rev BE Stop,113,600.0,-11.26
Config B,09:30,2026-06-18,S,09:35,390.61,395.61,13:30,395.18,BE Stop,100,500.0,-467.0
Config B,09:30,2026-06-18,L (Rev),15:45,399.62,391.44,15:50,402.22,Rev EOD,73,600.0,183.37
Config B,09:30,2026-06-22,L,09:35,401.7,396.7,10:45,405.39,VWAP Cross,100,500.0,394.0
Config B,09:30,2026-06-23,S,09:40,388.11,392.87,15:50,381.94,EOD,100,476.0,559.75
Config B,09:30,2026-06-24,L,09:35,384.09,379.09,10:00,381.4,BE Stop,100,500.0,-279.0
Config B,09:30,2026-06-24,S (Rev),12:40,378.52,383.27,15:50,376.8,Rev EOD,126,600.0,204.63
Config B,09:30,2026-06-25,S,09:55,371.66,376.66,10:05,375.11,BE Stop,100,500.0,-355.0
Config B,09:30,2026-06-26,L,09:40,373.21,368.6,14:40,380.74,VWAP Cross,100,461.0,633.0
Config B,09:30,2026-06-29,L,09:35,387.74,382.74,15:50,411.28,EOD,100,500.0,1934.5
Config B,09:30,2026-06-30,L,09:35,411.43,406.43,15:50,420.72,EOD,100,500.0,802.5
Config B,09:30,2026-07-01,L,10:05,426.61,421.61,12:45,426.92,VWAP Cross,100,500.0,155.75
Config B,09:30,2026-07-02,S,09:35,418.7,423.7,15:50,392.16,EOD,100,500.0,2161.75
Config B,09:30,2026-07-06,S,09:35,392.56,397.56,09:40,392.6,BE Stop,100,500.0,-14.0
Config B,09:30,2026-07-06,L (Rev),09:45,401.36,394.18,15:50,418.31,Rev EOD,84,600.0,1408.08
Config B,09:30,2026-07-07,S,09:50,412.69,417.69,12:50,409.7,VWAP Cross,100,500.0,338.75
Config B,09:30,2026-07-08,S,09:50,394.81,399.63,15:45,394.17,VWAP Cross,100,482.0,136.25
Config B,09:30,2026-07-09,L,10:00,398.01,393.01,10:15,393.92,BE Stop,100,500.0,-419.0
